Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-27,56.79,57.29,56.01,56.52,633127
2021-04-28,56.76,57.7,56.15,57.5,1301799
2021-04-29,57.99,58.45,57.1,57.4,982923
2021-04-30,57.5,58.34,55.87,58.14,1339375
2021-05-04,57.75,57.83,54.08,54.08,1483111
2021-05-05,54.2,54.87,52.88,53.01,1121237
2021-05-06,53,53.63,51.23,51.62,2176146
2021-05-07,51.11,54.98,50.9,54.86,1425325
2021-05-10,55.04,55.47,52.5,53.17,968193
2021-05-11,53,53.25,51.74,51.8,1115028
2021-05-12,51.9,52.93,51.85,52.34,1484928
2021-05-13,54.4,55.86,51.12,51.23,4044396
2021-05-14,52,52.4,49.105,52.4,2252936
2021-05-17,53,55.98,52.8,55.61,2798685
2021-05-18,55.74,58.75,55.71,57,3935818
2021-05-19,57.5,57.7,56.45,57.2,3569170
2021-05-20,57.5,57.7,56.55,57.21,1102150
2021-05-21,57.75,57.75,56.67,57.46,1885792
2021-05-24,57.46,57.5,56.8,56.9,527238
2021-05-25,56.94,58.9,56.94,58.4,1016722
2021-05-26,58.71,58.74,57.33,58.4,609807
2021-05-27,58.15,58.85,57.51,58.28,2321612
2021-05-28,58.5,58.83,57.6,58.5,1479511
2021-05-31,58.7,58.82,57.28,57.66,487814
2021-06-01,58.9,59.96,57.89,59.21,1177366
2021-06-02,59.4,59.74,59,59.18,886587
2021-06-04,59,59.26,57.5,58.77,964784
2021-06-07,58.4,59.44,58.25,59.05,893616
2021-06-08,59.02,61.18,58.27,59.25,1951969
2021-06-09,59.5,60.23,58.88,59.64,1522661
2021-06-10,60,60.2,58.1,58.4,1905139
2021-06-11,58.67,58.86,58.02,58.3,610146
2021-06-14,58.54,59.17,58,58.5,926802
2021-06-15,59,60.08,58.56,58.79,1258238
2021-06-16,57.74,59.95,57.58,59.8,699683
2021-06-17,59.8,61.04,58.51,59.09,2192885
2021-06-18,59.35,60.5,58.8,60.05,3250796
2021-06-21,60.18,60.18,58.78,59.4,606399
2021-06-22,59.9,59.9,57.1,58.25,1181990
2021-06-23,59.13,60.28,58.53,60.25,997942
2021-06-24,60.45,63.08,60.24,62.54,2490704
2021-06-25,62.55,64.48,62.33,64.2,2317301
2021-06-28,64.2,64.21,62.3,63.94,998415
2021-06-29,63.8,65.84,63.57,65.5,1725203
2021-06-30,65.9,67.28,65.15,65.62,2320583
2021-07-01,66,68.33,64.55,67.3,2059122
2021-07-02,67.25,68.95,66,67.68,1644793
2021-07-05,67.7,69.54,67.65,69.05,1713798
2021-07-06,69.25,69.91,69,69.91,1024144
2021-07-07,70.03,75.9,70.03,73.38,4404103
2021-07-08,73.19,74.25,71.38,71.82,1748032
2021-07-09,71.83,72.75,70.6,71.55,914559
2021-07-12,71,74.83,70.83,73.69,1377603
2021-07-13,73.99,74.25,72.51,72.68,1297777
2021-07-14,72.6,73.49,72.14,73.49,762177
2021-07-15,73,73.53,72.25,72.99,549774
2021-07-16,73,73.87,72.71,73.6,822218
2021-07-19,73.87,73.9,72.46,72.9,1217846
2021-07-20,72.26,74.32,72.2,73.9,936733
2021-07-21,73.8,74.78,73,73.15,1044873
2021-07-22,72.73,74,72.5,73.71,721542
2021-07-23,73.46,74.01,72.66,73.15,323216
2021-07-26,73.14,73.77,70.68,72.9,626559
2021-07-27,72.72,72.73,70.35,71.35,644794
2021-07-28,70.91,71.26,68.71,68.84,1876598
2021-07-29,68.59,70.24,67.57,67.75,1290815
2021-07-30,67.42,68,65.71,66.1,1757923
2021-08-02,66.25,67.7,65.8,66.1,788318
2021-08-03,66.28,68.9,66.25,67.12,1159433
2021-08-04,67,67.41,66.1,66.53,662849
2021-08-05,67.63,67.72,63.3,64.19,2268288
2021-08-06,64.5,64.5,62.5,63.87,1859196
2021-08-09,63.75,64.3,63.2,64.15,923115
2021-08-10,64.15,64.45,62.88,62.88,1176235
2021-08-11,63,63.25,61.66,62.19,896542
2021-08-12,62.1,62.88,61.52,62.5,1051563
2021-08-13,62.6,64,62.34,63.81,842149
2021-08-16,63.86,63.98,61.87,62,792614
2021-08-17,62.3,63.74,62.05,63.37,1027652
2021-08-18,63.42,64.34,62.95,64.19,627757
2021-08-19,64.38,65.23,63.72,65.01,875960
2021-08-20,65,65.2,64.3,65,371254
2021-08-23,65.1,65.2,64.51,65,318720
2021-08-24,65.2,65.9,64.68,65.65,623158
2021-08-25,65.65,67.98,65.34,67.45,792214
2021-08-26,67.5,68.98,67.01,67.85,625375
2021-08-27,68.25,68.37,66.54,67.5,628515
2021-08-30,67.5,69.42,67.5,69.25,537827
2021-08-31,69.38,71.01,69.35,71.01,1377589
2021-09-01,71,72.75,70.72,72.75,1029314
2021-09-02,72.7,72.83,71,71.35,767552
2021-09-03,71.02,71.18,68.72,69.25,693674
2021-09-06,68.92,70.65,68.92,70.65,349274
2021-09-07,70.4,70.4,68.2,68.38,983360
2021-09-08,68.3,68.62,66.21,66.88,743911
2021-09-09,66.61,66.61,64.88,64.88,1124457
2021-09-10,65,65.4,63.46,63.46,1113796
2021-09-13,63.61,64.2,62.2,63.45,1096609
2021-09-14,63.35,63.35,62.1,62.1,1446049
2021-09-15,62,63.03,61.82,62.3,1623982
2021-09-16,62.58,63.23,62.3,62.72,1115320
2021-09-17,63,65.15,62.3,64.25,2784270
2021-09-20,63.8,63.98,62,62.37,980931
2021-09-21,62.38,63.4,62.11,62.42,1258552
2021-09-22,63.17,63.3,61.84,62.02,1237773
2021-09-23,62.46,62.64,61.64,61.9,1352873
2021-09-24,61.8,62.19,59.5,59.64,1224358
2021-09-27,59.6,60.81,59.5,59.83,1724518
2021-09-28,59.53,59.79,57.55,58.41,1786841
2021-09-29,58.2,59.37,57.85,58.47,1306420
2021-09-30,59.1,59.95,57.61,57.85,2041887
2021-10-01,57.9,59,57.19,58.09,1337982
2021-10-04,57.9,57.93,56.61,56.9,2176919
2021-10-05,56.9,57.61,56.32,56.59,2031084
2021-10-06,57.1,57.1,54.81,55.5,1312088
2021-10-07,55.51,55.84,54.36,55.15,1892994
2021-10-08,55.8,59.84,55.21,58.79,2758928
2021-10-11,59,59.88,57.2,58.25,1430284
2021-10-12,57.1,57.24,54.5,54.5,6633579
2021-10-13,55,55.19,51.34,51.5,8838503
2021-10-14,51.88,52.95,50.02,50.98,5409374
2021-10-15,51.15,51.26,49.42,50.69,3801772
2021-10-18,50.71,51.63,50.48,50.8,1898081
2021-10-19,50.76,50.76,49.055,49.295,3355915
2021-10-20,49.05,50.48,48.81,49.3,2023318
2021-10-21,49.3,50.5,48.65,49.48,2404902
2021-10-22,49.6,51.13,49.225,50.35,2007962
2021-10-25,50.16,51.3,48.58,48.67,1885046
2021-10-26,48.925,49.13,46.64,46.87,3643519
2021-10-27,46.8,48.23,45.53,47.36,4366924
2021-10-28,47.36,47.54,45.81,45.95,2208812
2021-10-29,45.96,46.32,44.615,45.12,2509683
2021-11-02,45.5,45.6,43.75,44.16,3853429
2021-11-03,44.175,44.86,43.31,43.5,2048406
2021-11-04,43.97,45.335,43.6,44.5,2878602
2021-11-05,48.5,50.19,46.56,49.25,9797926
2021-11-08,49.8,49.9,47.165,47.695,2804676
2021-11-09,48,48.8,42.34,42.34,7836602
2021-11-10,42.315,43.29,41.4,42.3,3731965
2021-11-12,43,43.1,40.25,40.8,5470764
2021-11-15,41,42.6,40.3,41.7,2555880
2021-11-16,41.95,44.155,41.8,44.03,2363926
2021-11-17,44.195,44.32,42.4,42.71,2886986
2021-11-18,42.98,45.06,42.45,44.965,4245181
2021-11-19,45,46.095,44.12,45.4,4209067
2021-11-22,45.5,46.15,42.95,43.085,2686352
2021-11-23,43,44.29,42.625,43.25,1765184
2021-11-24,43.56,43.77,40.37,40.37,3535366
2021-11-25,40.745,40.92,39.33,40.35,2132181
2021-11-26,39.5,43.12,39,42,6245426
2021-11-29,42.63,42.63,40.63,40.94,2754685
2021-11-30,40.52,41.695,39.81,39.995,3999630
2021-12-01,40.08,40.6,37.92,38.48,4141382
2021-12-02,38.245,38.245,36.055,36.385,5334331
2021-12-03,36.5,37.34,36.37,36.545,3618424
2021-12-06,36.54,37,34.525,34.725,6275085
2021-12-07,35,37.67,34.96,37.265,4647059
2021-12-08,37.65,38.8,37.41,37.975,2491227
2021-12-09,37.94,39.88,37.81,39.16,4258328
2021-12-10,38.845,38.845,37.56,38,1593265
2021-12-13,38.1,38.56,37.62,38,1981626
2021-12-14,38.435,38.46,36.485,36.485,2410495
2021-12-15,36.5,36.745,34.65,34.77,2755413
2021-12-16,35.3,38.115,35.3,37.25,3077300
2021-12-17,36.79,37.915,36.225,37.915,4946422
2021-12-20,37.5,39.445,36.985,39.225,2128895
2021-12-21,39.5,40.3,38.77,39.375,1850335
2021-12-22,39.5,41.36,39.04,41.35,2043342
2021-12-23,41.61,41.96,38.71,38.78,3061858
2021-12-27,38.78,41,38.3,40.4,1682120
2021-12-28,40.18,40.66,39.01,39.77,1556840
2021-12-29,39.77,40.33,39.21,39.8,817664
2021-12-30,39.56,39.95,38.54,38.86,1928301
2022-01-03,39.49,41.19,39.16,39.4,2551155
2022-01-04,39.8,40,38.41,38.78,1771635
2022-01-05,38.725,38.725,37.6,37.785,3245494
2022-01-07,37,40.25,36.5,39.365,6847709
2022-01-10,39.62,40.75,38.56,38.63,4917472
2022-01-11,39.44,40.98,39.055,40.83,5312022
2022-01-12,41.2,43.36,41.16,42.87,9013101
2022-01-13,42.9,44.4,42.12,44,7064033
2022-01-14,43.8,43.885,42.82,43.235,3859185
2022-01-17,43.38,43.45,42.1,42.3,3160498
2022-01-18,42.05,42.2,39.8,39.86,4677131
2022-01-19,39.25,40.64,38.855,40.2,3515320
2022-01-20,40.245,41.18,40.12,40.24,4451467
2022-01-21,39.455,39.96,38.42,39,3323055
2022-01-24,38.6,39.26,36,36.7,3950291
2022-01-25,37.35,38.36,37.005,37.855,2727029
2022-01-26,38.12,38.2,36.865,37.58,3831055
2022-01-27,36.9,37.5,36.11,36.4,3487458
2022-01-28,36.5,36.64,34.8,35.375,4691677
2022-01-31,36.3,37.71,35.9,37.6,4722606
2022-02-01,37.6,38.835,36.84,38.835,3225070
2022-02-02,39.2,39.2,38.32,38.52,1679270
2022-02-03,38.04,38.08,36.375,36.375,3357191
2022-02-04,36.785,37.73,35.175,35.175,3867938
2022-02-07,35.48,35.79,34.54,35.04,4066192
2022-02-08,35.1,35.2,32.93,33.66,4673932
2022-02-09,34.06,35.32,33.4,35.16,4047739
2022-02-10,36,36,33.91,34.8,2010815
2022-02-11,34.3,35.45,34,35.185,2168780
2022-02-14,34.11,35.095,33.1,34.945,3166737
2022-02-15,35.07,36.075,35.005,35.69,1664390
2022-02-16,36,36.195,34.06,34.325,3280367
2022-02-17,34.49,34.695,33.7,33.83,1507547
2022-02-18,33.7,34.07,32.65,32.65,2562474
2022-02-21,33,33.265,31.01,31.2,2417131
2022-02-22,30.2,32.89,29.685,32.75,3170282
2022-02-23,33.195,33.21,30.57,30.615,4763132
2022-02-24,27,28.235,24.435,26.4,13846493
2022-02-25,27.59,28.6,26.03,27.51,6358578
2022-02-28,26.5,31.48,26.12,31.365,5749619
2022-03-01,31.62,31.885,29.82,30.2,3853691
2022-03-02,29.6,31.005,29.11,29.255,3664184
2022-03-03,29.255,29.615,27.745,27.745,2768938
2022-03-04,27.6,27.7,26.105,26.305,3743742
2022-03-07,26,26.74,23.12,26.4,9955602
2022-03-08,26,27.48,25.32,26.195,3554768
2022-03-09,27.255,29.2,26.7,29.135,3957972
2022-03-10,29.95,30.3,28.51,29.23,3401448
2022-03-11,29.41,30.58,28.76,29.37,3232837
2022-03-14,29.25,29.675,28.36,29.24,2381598
2022-03-15,29.8,29.96,28.41,29.43,2522757
2022-03-16,30.97,32.2,30.12,30.895,4645894
2022-03-17,31.85,32.7,31.2,32.7,5821212
2022-03-18,32.94,33.15,31.945,32.43,4973978
2022-03-21,32.3,32.885,31.21,31.84,2714077
2022-03-22,31.72,33.18,31.225,32.89,4288085
2022-03-23,33.1,33.72,32.005,32.33,1822742
2022-03-24,32.53,33.7,31.835,33.405,2234954
2022-03-25,33.5,34.18,32.665,33,2394429
2022-03-28,33.5,34.79,33.045,34.5,3848148
2022-03-29,34.8,36.2,34.14,36.2,4645042
2022-03-30,36.2,36.66,35.65,36.5,2798934
2022-03-31,36.6,36.645,35.57,35.57,3120009
2022-04-01,35.56,35.985,34.845,35.1,2390256
2022-04-04,35.6,35.68,31.725,32.7,6506338
2022-04-05,32.8,33.33,32.32,32.8,2530326
2022-04-06,32.7,32.77,29.92,30.16,4671279
2022-04-07,30.48,30.54,29.035,29.035,2813313
2022-04-08,29.45,29.505,28.64,28.71,2751705
2022-04-11,28.785,29.45,27.82,28.36,2962390
2022-04-12,28.3,28.36,27.525,27.8,2872104
2022-04-13,28,28.18,26.72,26.795,4428572
2022-04-14,27,28.485,27,27.9,2349689
2022-04-19,28.18,28.21,26.31,27.02,3311956
2022-04-20,27.49,28.52,27.05,27.905,4952265
2022-04-21,27.85,28.96,27.165,28.045,4326791
2022-04-22,27.9,27.9,26.85,27,1820030
2022-04-25,26.44,27.48,26.1,27.055,2051746
2022-04-26,27.59,27.59,24.615,24.615,6510479
2022-04-27,24.9,24.95,23.86,24.05,3535628
2022-04-28,24.57,24.85,23.125,24.35,4645352
2022-04-29,25,25.42,23.005,23.035,5744588
2022-05-02,22.59,23.36,22.22,22.935,3069207
2022-05-04,23.2,23.45,22.375,22.575,4123966
2022-05-05,23.4,23.425,21.22,21.235,5201244
2022-05-06,21.02,22.15,20.61,21.95,4276409
2022-05-09,21.85,22.64,21.475,22.295,2662355
2022-05-10,22.32,22.96,21.23,21.82,3584953
2022-05-11,22.1,23.25,21.52,22.375,3487543
2022-05-12,21.7,22.67,20.7,22.44,3963700
2022-05-13,23,23.145,21.83,23,3570236
2022-05-16,22.88,23.32,21.925,22.295,2553630
2022-05-17,22.595,24.13,22.25,23.86,2847867
2022-05-18,23.86,24.265,23.15,23.345,2189861
2022-05-19,22.81,23.42,22.465,23.4,4383117
2022-05-20,23.6,24.94,23.47,24.29,2964570
2022-05-23,24.865,25.185,23.23,23.495,7659350
2022-05-24,23.15,23.33,22.21,22.27,5307555
2022-05-25,22.5,22.72,22.01,22.3,2008161
2022-05-26,21.7,23.6,21.3,23.45,5584021
2022-05-27,23.58,24.935,23.52,24.7,10293575
2022-05-30,24.83,25.225,24.52,25.03,3514722
2022-05-31,25,25.25,24.61,25.11,6122222
2022-06-01,25,25.12,23.7,23.7,3199105
2022-06-02,23.605,23.965,23.36,23.775,1279778
2022-06-03,24,24.3,22.79,22.89,2305695
2022-06-06,23.015,23.4,22.93,23.01,1216522
2022-06-07,22.88,22.88,22.205,22.38,2251286
2022-06-08,22.46,22.6,21.305,21.415,3116662
2022-06-09,21.5,21.9,20.56,20.795,3118856
2022-06-10,20.73,21.66,20.45,21.2,2216544
2022-06-13,20.7,21,19.938,20.125,2580832
2022-06-14,20.3,20.6,19.612,19.686,3595967
2022-06-15,19.83,20.32,19.414,20.235,5353056
2022-06-17,19.99,21.1,19.78,20.615,5958956
2022-06-20,20.9,21.78,20.835,21.47,2587729
2022-06-21,21.66,22.59,21.18,22.485,4989568
2022-06-22,22.035,22.97,21.7,22.43,3501969
2022-06-23,22.4,22.99,21.82,22.83,2718603
2022-06-24,22.9,23.72,22.34,23.455,2765276
2022-06-27,23.605,24.36,23.16,24.075,4111348
2022-06-28,24,24.8,23.725,23.925,4251045
2022-06-29,23.1,24.415,22.41,23.995,2475827
2022-06-30,24.07,24.165,23.545,23.845,1721615
2022-07-01,23.66,24.52,23.01,23.22,2079266
2022-07-04,23.3,23.405,22.62,22.71,1310567
2022-07-05,22.835,23.24,21.87,22.82,1989506
2022-07-06,23,27.15,23,26.42,9665798
2022-07-07,26.42,28.12,26.2,27.5,4814188
2022-07-08,27.705,27.735,26.56,26.875,2942650
2022-07-11,26.52,27.7,26.005,27.47,2070565
2022-07-12,27.295,27.35,25.4,25.6,2525756
2022-07-13,25.45,25.895,24.34,24.82,3102692
2022-07-14,24.9,25.19,24.12,24.455,2843499
2022-07-15,24.67,26.1,24.59,25,2825339
2022-07-18,25.5,25.715,24.62,25.605,2443317
2022-07-19,25.45,25.96,24.725,25.86,1726038
2022-07-20,26.5,27.94,26.4,27.49,3724207
2022-07-21,27.39,27.4,26.52,26.57,3291295
2022-07-22,26.99,27.595,26.15,26.88,3337954
2022-07-25,26.5,26.765,25.565,25.725,1985422
2022-07-26,25.66,25.705,24.43,24.65,2269835
2022-07-27,25,25.05,23.455,23.71,2748401
2022-07-28,24.38,24.48,23.09,23.4,3835634
2022-07-29,23.62,25.035,23.62,25.035,3661597
2022-08-01,25.085,25.4,24.25,24.95,2114188
2022-08-02,24.91,25.195,24.3,25.045,1467850
2022-08-03,24.73,25.675,24.635,25.345,1857323
2022-08-04,25.645,27.99,25.485,26.71,6429282
2022-08-05,26.935,27.15,25.62,25.865,2027420
2022-08-08,26.3,26.4,25.225,25.565,1322585
2022-08-09,25.5,27.13,25.5,26.955,2773168
2022-08-10,26.655,27.72,26.14,27.535,4665215
2022-08-11,27.94,29.15,27.305,28.5,2854068
2022-08-12,28.6,28.665,27.9,28.275,2106822
2022-08-16,28.5,29.92,28.5,29.45,3008137
2022-08-17,29.74,29.74,27.72,28.175,3322278
2022-08-18,27.8,28.715,27.33,27.825,1442749
2022-08-19,27.61,28,27.025,27.2,1706128
2022-08-22,26.94,27.075,26.06,26.095,1999010
2022-08-23,26,26.38,25.56,25.7,2053804
2022-08-24,25.6,26.01,24.85,25,2477077
2022-08-25,25.55,26.46,25.43,25.8,1913084
2022-08-26,25.99,26.025,25,25.21,2156835
2022-08-29,24.705,24.88,23.71,24.345,1810898
2022-08-30,24.6,25.2,23.92,24.12,1379071
2022-08-31,24.51,25.045,24.25,24.8,3177837
2022-09-01,24.5,24.98,24.165,24.205,3029554
2022-09-02,24.8,25.185,24.26,25.105,1512229
2022-09-05,24.8,25.1,23.74,23.74,1781361
2022-09-06,24.08,25.1,23.985,24.185,2036798
2022-09-07,24.2,24.64,23.93,24.36,2211218
2022-09-08,24.735,25.59,24.54,25.48,2861373
2022-09-09,25.8,26.695,25.4,26,3181461
2022-09-12,26.405,26.44,25.41,26.185,2177314
2022-09-13,26.2,27,25.55,25.825,1956685
2022-09-14,25.56,25.9,24.93,25.45,1480791
2022-09-15,25.4,26.155,25.12,25.885,1231857
2022-09-16,25.5,25.8,24.865,25.3,3159662
2022-09-19,25.3,25.85,25,25.715,1327363
2022-09-20,25.92,25.92,25,25.085,1326663
2022-09-21,24.85,26.095,24.68,25.89,1762268
2022-09-22,25.45,25.85,25.225,25.5,1463910
2022-09-23,25.5,25.64,24.005,24.66,2606798
2022-09-26,24.48,25.165,23.98,24.75,2187660
2022-09-27,25.185,25.6,24.91,25.305,2646154
2022-09-28,24.9,25.35,24.25,24.5,2823120
2022-09-29,23.975,23.975,21.9,21.985,8010278
2022-09-30,22.04,22.305,20.75,21.545,7860068
2022-10-03,21.5,21.5,20.57,21.235,2257510
2022-10-04,22,22.24,21.385,21.88,9636913
2022-10-05,21.96,22,20.65,20.83,2197295
2022-10-06,21.1,21.355,20.36,20.585,5100331
2022-10-07,20.255,20.74,19.88,20.09,4142553
2022-10-10,19.92,19.978,19.31,19.6,6550102
2022-10-11,19.5,19.888,19.05,19.5,3848932
2022-10-12,19.82,19.89,18.7,18.7,5995944
2022-10-13,18.95,19.092,17.9,18.372,11278995
2022-10-14,19.114,19.99,18.452,19.866,10658157
2022-10-17,19.75,20.47,19.356,20.35,3199204
2022-10-18,20.5,20.94,20.38,20.77,3382461
2022-10-19,20.65,20.675,19.402,19.914,3400518
2022-10-20,19.8,20.37,19.062,20.29,5979106
2022-10-21,19.99,20.09,19.566,19.896,2103466
2022-10-24,19.896,20.365,19.76,19.89,2859177
2022-10-25,19.9,21.22,19.9,21.035,5729841
2022-10-26,21.075,21.95,21,21.9,5577479
2022-10-27,21.67,22.4,21.375,22.315,3113550
2022-10-28,21.62,22.69,21.31,22.33,3565589
2022-10-31,22.5,23.27,22.17,23.2,3013077
2022-11-02,23.26,23.68,22.52,23.3,4211970
2022-11-03,22.71,23.615,22.62,23.48,2633315
2022-11-04,23.38,24.95,23.305,23.4,4965749
2022-11-07,23.5,24.15,23.16,23.92,2732427
2022-11-08,23.9,24.85,23.59,24.85,2411813
2022-11-09,24.77,25.16,24.19,24.275,2354362
2022-11-10,24,26.185,23.705,25.925,4303425
2022-11-14,26.39,26.94,25.48,25.83,5470105
2022-11-15,25.89,26.85,25.4,26.6,2987856
2022-11-16,26.3,26.48,25.4,25.5,3221535
2022-11-17,25.9,25.95,24.61,24.83,4085059
2022-11-18,24.52,24.8,23.915,24.405,3121412
2022-11-21,24.41,24.5,23.11,23.305,4471992
